"Age" "Region" "Revenu" "Loisirs" "Pates" "Cafe" "Enfants" "Magnetoscope" "Lavevaisselle"
"TA1" "GR3"  13927 2157 27 "MC" 1 1 0
"TA1" "GR3"  41559 2631 19 "AC" 4 1 1
"TA1" "GR3"  20215 2309 25 "BC" 0 1 0
"TA1" "GR3"  39664 3539 39 "MC" 3 0 0
"TA1" "GR3"  37467 3765 38 "MC" 5 1 1
"TA1" "GR3"  39421 2757 52 "BC" 5 1 1
"TA1" "GR3"  27717 3106 39 "AC" 3 1 0
"TA1" "GR3"  30324 1970 35 "BC" 1 1 1
"TA1" "GR3"  59356 3984 31 "BC" 2 1 1
"TA1" "GR3"  43859 3565 30 "BC" 4 1 1
"TA1" "GR3"  11594 1940 36 "BC" 2 1 0
"TA1" "GR3"  18945 2342 39 "BC" 2 1 0
"TA1" "GR3"  15621 2128 37 "AC" 3 1 1
"TA1" "GR3"  10961 1841 22 "MC" 0 1 0
"TA1" "GR3"  13154 2061 28 "AC" 1 0 0
"TA1" "GR3"  16397 2231 34 "MC" 2 0 0
"TA1" "GR3"   9019 1843 29 "MC" 2 1 1
"TA1" "GR3"  27116 2293 38 "BC" 2 1 0
"TA1" "GR3"  22770 2118 28 "MC" 0 0 0
"TA1" "GR3"  15465 2041 33 "AC" 1 1 0
"TA1" "GR3"  19196 2068 29 "BC" 3 1 1
"TA1" "GR3"  34927 2961 28 "BC" 1 1 0
"TA1" "GR3"   9006 1846 32 "MC" 4 0 0
"TA2" "GR1"  49233 2404 19 "AC" 2 1 1
"TA2" "GR1"  15524 1254 17 "AC" 0 0 0
"TA2" "GR1"  27010 1327 39 "MC" 2 0 1
"TA2" "GR1"  12327 1117 20 "BC" 2 1 1
"TA2" "GR1"   8555  852 23 "MC" 1 0 0
"TA2" "GR1"  27356 1606 17 "MC" 2 0 1
"TA2" "GR1"  24612 1210 29 "MC" 3 1 0
"TA2" "GR1"  31154 2075 24 "MC" 1 0 1
"TA2" "GR1"  12980  947 18 "MC" 1 1 0
"TA2" "GR1"  37685 2000 22 "BC" 1 1 1
"TA2" "GR1"  21410 1199 38 "MC" 2 1 1
"TA2" "GR1"  57759 3104 21 "BC" 0 1 1
"TA2" "GR1"  25037 1945 21 "MC" 2 1 1
"TA2" "GR1"  14210 1074 20 "BC" 1 1 0
"TA2" "GR1"  25347 1183 23 "BC" 0 0 1
"TA2" "GR1"  38356 2159 19 "AC" 0 1 0
"TA2" "GR1"  22754 1364 23 "MC" 3 0 1
"TA2" "GR1"  41100 2297 30 "AC" 1 0 1
"TA2" "GR1"  22792 1198 23 "AC" 0 0 1
"TA2" "GR1"  25491 1616 41 "BC" 3 0 0
"TA2" "GR1"  32270 2417 19 "AC" 0 0 0
"TA2" "GR1"  32160 1698 31 "BC" 3 1 1
"TA2" "GR1"  21319 1684 32 "BC" 1 0 0
"TA2" "GR1"  32150 1946 19 "MC" 2 0 0
"TA2" "GR1"  15625 1567 15 "MC" 1 0 0
"TA2" "GR1"   8963 1046 20 "BC" 0 0 0
"TA2" "GR1"  14614  721 14 "BC" 0 1 0
"TA2" "GR1"  32648 1666 18 "MC" 1 0 0
"TA2" "GR1"  20811 1310 18 "AC" 2 1 1
"TA2" "GR1"   5903  674 27 "AC" 2 0 0
"TA2" "GR1"  21262 1466 29 "MC" 4 0 1
"TA2" "GR1"  39110 1859 18 "BC" 1 1 1
"TA2" "GR1"  30413 1545 18 "BC" 1 0 0
"TA2" "GR1"  10523 1008 23 "MC" 3 0 0
"TA2" "GR1"  14678 1017 45 "BC" 4 0 0
"TA2" "GR1"  16112 1106 25 "AC" 3 1 0
"TA2" "GR1"  24394 1652 25 "AC" 3 0 1
"TA2" "GR1"  76764 4368 26 "MC" 2 1 1
"TA2" "GR1"  21588 1576 18 "AC" 0 1 1
"TA2" "GR1"  16429  581 36 "BC" 4 0 0
"TA2" "GR1"  47792 2522 22 "MC" 0 0 0
"TA2" "GR1"  39092 2211 25 "AC" 0 0 0
"TA2" "GR1"  31955 1769 25 "BC" 2 0 0
"TA2" "GR1"   9920  844 21 "AC" 2 0 0
"TA2" "GR1"  22666 1249 15 "AC" 1 1 0
"TA2" "GR1"  28988 1996 36 "MC" 5 1 1
"TA2" "GR1"  18094 1445 11 "BC" 0 1 0
"TA2" "GR1"  38156 2504 20 "MC" 0 0 1
"TA2" "GR1"  13260  853 19 "MC" 1 0 0
"TA2" "GR1"  17182 1189 20 "BC" 1 0 0
"TA2" "GR2"  13788  823 26 "AC" 2 0 0
"TA2" "GR2"   6790  445 29 "AC" 2 0 0
"TA2" "GR2"  31143  995 18 "MC" 0 1 1
"TA2" "GR2"  17918  976 26 "BC" 2 1 0
"TA2" "GR2"   6644  588 35 "BC" 3 0 0
"TA2" "GR2"   6625  453 28 "AC" 2 0 0
"TA2" "GR2"  10364  736 27 "BC" 1 0 0
"TA2" "GR2"  54310 2842 26 "MC" 1 1 1
"TA2" "GR2"  31878 1398 24 "MC" 1 0 1
"TA2" "GR2"  21159 1067 36 "BC" 3 0 0
"TA2" "GR2"  12880  768 24 "AC" 1 0 0
"TA2" "GR2"  25067  975 28 "AC" 2 1 0
"TA2" "GR2"   7663  567 13 "MC" 2 1 0
"TA2" "GR2"  15568 1194 24 "AC" 1 0 0
"TA2" "GR2"   8103  510 18 "AC" 0 0 0
"TA2" "GR2"  12018  745 20 "BC" 0 0 0
"TA2" "GR2"  19451  931 32 "BC" 4 1 1
"TA2" "GR2"  16515 1272 20 "MC" 1 0 0
"TA2" "GR2"  14662  815 27 "MC" 2 1 0
"TA2" "GR2"  29515 1726 24 "AC" 3 1 0
"TA2" "GR2"  14201  595 18 "MC" 1 0 0
"TA2" "GR2"  16860 1068 26 "BC" 2 1 1
"TA2" "GR2"  13450  719 35 "MC" 5 0 1
"TA2" "GR2"  16502  947 17 "MC" 1 0 0
"TA2" "GR2"  26787 1317 32 "MC" 2 0 0
"TA2" "GR2"  10360  606 18 "MC" 1 0 0
"TA2" "GR2"  23582  816 25 "AC" 1 0 0
"TA2" "GR2"  21075 1024 17 "BC" 1 0 0
"TA2" "GR2"   5795  525 28 "BC" 3 1 0
"TA2" "GR2"  18938 1012 23 "MC" 1 0 0
"TA2" "GR2"  21536 1268 24 "AC" 2 0 0
"TA2" "GR2"  26351 1178 23 "AC" 0 0 1
"TA2" "GR2"  17472  945 24 "AC" 2 0 0
"TA2" "GR2"   5802  512 18 "AC" 0 0 0
"TA2" "GR2"  56951 2536 30 "BC" 3 0 1
"TA2" "GR2"  15450  716 28 "MC" 2 0 0
"TA2" "GR2"  12712  702 13 "MC" 1 1 1
"TA2" "GR2"  34505 1358 30 "AC" 3 1 0
"TA2" "GR2"  25356 1726 15 "BC" 6 0 1
"TA2" "GR2"  25178 1557 28 "AC" 3 0 0
"TA2" "GR2"  18944  907 29 "MC" 3 0 0
"TA2" "GR2"  10164  503 25 "AC" 5 0 1
"TA2" "GR2"  19980 1161 32 "BC" 3 0 1
"TA2" "GR2"  58451 2777 26 "MC" 2 1 1
"TA2" "GR2"  18465 1092 17 "BC" 1 0 0
"TA2" "GR2"  33063 1758 31 "BC" 2 1 0
"TA2" "GR2"  37698 2072 19 "BC" 1 1 0
"TA2" "GR2"  14133  979 29 "AC" 2 0 1
"TA2" "GR2"  53614 2114 22 "AC" 2 1 0
"TA2" "GR2"  14045  786 27 "AC" 2 0 0
"TA2" "GR3"  18780 1358 27 "AC" 3 0 0
"TA2" "GR3"   9922  686 20 "AC" 1 0 1
"TA2" "GR3"  40590 2199 25 "MC" 1 0 1
"TA2" "GR3"  11780 1029 18 "AC" 3 0 1
"TA2" "GR3"  24845 1551 19 "AC" 1 0 0
"TA2" "GR3"  43384 2239 17 "AC" 2 0 1
"TA2" "GR3"   8477  741 16 "MC" 4 0 0
"TA2" "GR3"  23070  814 18 "AC" 0 0 0
"TA2" "GR3"  21355 1179 11 "MC" 0 0 0
"TA2" "GR3"  14978  988 28 "BC" 2 0 0
"TA2" "GR3"  28765 1851 16 "MC" 2 0 1
"TA2" "GR3"   8914  786 17 "MC" 0 0 1
"TA2" "GR3"  26858 1830 41 "AC" 2 1 1
"TA2" "GR3"   9209  881 23 "MC" 1 0 0
"TA2" "GR3"  20114 1439 15 "AC" 0 1 1
"TA2" "GR3"  14969 1226 44 "BC" 3 1 0
"TA2" "GR3"  28978 1448 17 "BC" 0 0 1
"TA2" "GR3"  21429 1356 25 "MC" 1 0 1
"TA2" "GR3"   9966  766 22 "MC" 2 0 0
"TA2" "GR3"  30461 1447 21 "AC" 1 0 0
"TA2" "GR3"   6305  501 24 "MC" 4 0 0
"TA2" "GR3"  12763  934 25 "BC" 3 0 1
"TA2" "GR3"  14886 1216 20 "AC" 1 0 1
"TA2" "GR3"  31686 1324 15 "MC" 0 1 0
"TA2" "GR3"  17058 1228 19 "BC" 1 0 0
"TA2" "GR3"  18451 1273 16 "MC" 0 1 1
"TA2" "GR3"  22027 1575 23 "MC" 2 1 1
"TA2" "GR3"  26956 1522 39 "BC" 4 0 1
"TA2" "GR3"  16341 1289 14 "AC" 2 0 0
"TA2" "GR3"   5643  675 21 "BC" 0 0 0
"TA2" "GR3"  15463  627 26 "AC" 3 0 1
"TA2" "GR3"  27262 1266 21 "BC" 1 0 1
"TA2" "GR3"  61905 1463 26 "MC" 3 0 1
"TA2" "GR3"  14871  969 17 "MC" 1 0 1
"TA2" "GR3"  31062 1831 19 "AC" 1 1 1
"TA2" "GR3"  20816 1008 17 "BC" 0 0 1
"TA2" "GR3"  30812 1869 30 "AC" 2 1 1
"TA2" "GR3"   5633  601 35 "MC" 2 0 0
"TA2" "GR3"  22716 1489 26 "AC" 3 0 0
"TA2" "GR3"   7185  642 30 "MC" 4 1 0
"TA2" "GR3"  15363  906 35 "AC" 4 0 1
"TA2" "GR3"  15486  844 32 "AC" 1 1 0
"TA2" "GR3"  15119  860 45 "AC" 2 1 0
"TA2" "GR3"  15061  745 18 "BC" 1 0 0
"TA2" "GR3"  16636  684 26 "AC" 3 0 0
"TA2" "GR3"  37065 1693 25 "BC" 2 1 1
"TA2" "GR3"  25142 1083 18 "AC" 0 0 0
"TA2" "GR3"  98082 4423 25 "MC" 3 1 1
"TA2" "GR3"  16557 1060 17 "MC" 2 0 0
"TA2" "GR3"  59694 3064 31 "BC" 2 1 1
